model,gamma,learning rate,1st noise,2nd noise,max reward,max reached,AUC
model1,0.95,0.01,,10.0,-1.0100000000000007,1,-3035.85
model1,0.95,0.01,1.0,,0.7699999999999999,63,2185.13
model1,0.95,0.01,1.0,1.0,0.8099999999999999,50,2287.04
model1,0.95,0.01,1.0,5.0,-1.01,224,-3034.38
model1,0.95,0.01,1.0,10.0,-1.01,2,-3034.19
model1,0.95,0.01,5.0,,0.7899999999999999,74,2229.07
model1,0.95,0.01,5.0,1.0,0.7699999999999999,94,2147.11
model1,0.95,0.01,5.0,5.0,0.8099999999999999,103,2062.34
model1,0.95,0.01,5.0,10.0,-1.0100000000000007,8,-3042.34
model1,0.95,0.01,10.0,,0.7899999999999999,130,2119.97
model1,0.95,0.01,10.0,1.0,0.7699999999999999,135,2054.97
model1,0.95,0.01,10.0,5.0,0.8099999999999999,104,2227.78
model1,0.95,0.01,10.0,10.0,0.7699999999999999,149,2037.76
